Date,High,Low,Open,Close,Volume,Adj Close
2008-01-02,7.1521430015563965,6.876785755157471,7.116785526275635,6.958571434020996,1079178800,6.013175010681152
2008-01-03,7.049643039703369,6.881785869598389,6.978928565979004,6.961785793304443,842066400,6.015953063964844
2008-01-04,6.892857074737549,6.388928413391113,6.837500095367432,6.430356979370117,1455832000,5.556723117828369
2008-01-07,6.557142734527588,6.0796427726745605,6.473214149475098,6.344285488128662,2072193200,5.4823455810546875
2008-01-08,6.516428470611572,6.099999904632568,6.4335713386535645,6.1160712242126465,1523816000,5.285136699676514
2008-01-09,6.410714149475098,6.010714054107666,6.117856979370117,6.407142639160156,1813882000,5.536662578582764
2008-01-10,6.464285850524902,6.264642715454102,6.3421430587768555,6.3578572273254395,1482975200,5.494073867797852
2008-01-11,6.351785659790039,6.0714287757873535,6.285714149475098,6.167500019073486,1232285600,5.329577922821045
2008-01-14,6.4078569412231445,6.2560715675354,6.340000152587891,6.385000228881836,1100450400,5.5175275802612305
2008-01-15,6.40071439743042,5.880714416503906,6.347142696380615,6.037142753601074,2343278000,5.2169318199157715
2008-01-16,6.036071300506592,5.596428394317627,5.901071548461914,5.701428413391113,2213845200,4.926827430725098
2008-01-17,5.905714511871338,5.6578569412231445,5.768214225769043,5.7460713386535645,1757859600,4.965404987335205
2008-01-18,5.919642925262451,5.700356960296631,5.775357246398926,5.762856960296631,1724343600,4.9799113273620605
2008-01-22,5.713571548461914,5.214285850524902,5.2878570556640625,5.5585713386535645,2434754000,4.803378105163574
2008-01-23,5.0,4.505000114440918,4.86392879486084,4.966785907745361,3372969600,4.291995048522949
2008-01-24,5.025000095367432,4.7146430015563965,4.999642848968506,4.842857360839844,2005866800,4.184902667999268
2008-01-25,4.96750020980835,4.6289286613464355,4.963928699493408,4.643214225769043,1554739200,4.012383460998535
2008-01-28,4.757143020629883,4.516071319580078,4.577142715454102,4.643214225769043,1474844000,4.012383460998535
2008-01-29,4.742499828338623,4.608928680419922,4.683928489685059,4.69785737991333,1099982800,4.059603691101074
2008-01-30,4.837500095367432,4.642857074737549,4.69178581237793,4.720714092254639,1243051600,4.079355239868164
2008-01-31,4.880357265472412,4.621428489685059,4.623214244842529,4.834285736083984,1345674400,4.177495956420898
2008-02-01,4.878214359283447,4.720714092254639,4.865714073181152,4.776785850524902,1010744000,4.127808570861816
2008-02-04,4.85357141494751,4.6935715675354,4.793214321136475,4.701785564422607,899234000,4.0629963874816895
2008-02-05,4.785714149475098,4.60357141494751,4.658214092254639,4.619999885559082,1141042000,3.992323160171509
2008-02-06,4.711428642272949,4.348928451538086,4.672500133514404,4.357142925262451,1573272400,3.7651779651641846
2008-02-07,4.456428527832031,4.188214302062988,4.284642696380615,4.329999923706055,2083331600,3.741722345352173
2008-02-08,4.489285945892334,4.342857360839844,4.360000133514404,4.481428623199463,1355972800,3.872577667236328
2008-02-11,4.6421427726745605,4.5428571701049805,4.571785926818848,4.623214244842529,1201432400,3.995100736618042
